Date,Category,Subcategory,Description,Amount,Income
2024-01-01,Savings/Investments,Retirement,401(k) contribution,95.69,16246.260000000002
2024-01-01,Food,Dining Out,Dinner at McDonald's,200,19142.030000000002
2024-01-01,Transportation,Fuel,Gas station fill-up,148.39,92054.32999999999
2024-01-02,Healthcare,Doctor Visits,Dentist appointment,260.31,7418.27
2024-01-02,Miscellaneous,Travel,Hotel booking,257.96,52220.08
2024-01-02,Healthcare,Insurance,Health insurance premium,295.95,92054.32999999999
2024-01-02,Housing,Mortgage,Monthly mortgage payment,58.42,105218.23
2024-01-03,Entertainment,Hobbies,Art supplies,239.1,7418.27
2024-01-04,Miscellaneous,Pet Expenses,Pet food purchase,105.49,45332.91
2024-01-04,Housing,Rent,House rent,280.73,84736.65
2024-01-06,Transportation,Public Transit,Subway ticket,151.33,37738.840000000004
2024-01-06,Food,Dining Out,Dinner at McDonald's,200,105218.23
2024-01-08,Income,Investment returns,Income for the day,7594.07,7594.07
2024-01-08,Entertainment,Movies/Events,Theater show,236.05,92054.32999999999
2024-01-08,Entertainment,Subscriptions,Spotify subscription,114.67,105218.23
2024-01-11,Healthcare,Insurance,Dental insurance payment,251.07,52220.08
2024-01-12,Food,Groceries,Supermarket run,235.33,12017.900000000001
2024-01-12,Miscellaneous,Pet Expenses,Veterinary check-up,197.57,33346.05
2024-01-12,Entertainment,Subscriptions,Spotify subscription,168.59,98146.84999999999
2024-01-13,Housing,Utilities,Water bill,261.91,37738.840000000004
2024-01-14,Housing,Rent,House rent,207.61,19142.030000000002
2024-01-15,Healthcare,Pharmacy,Over-the-counter medicines,245.66,69472.56
2024-01-16,Shopping,Gifts,Holiday shopping,92.25,45332.91
2024-01-16,Healthcare,Insurance,Dental insurance payment,243.49,69472.56
2024-01-16,Savings/Investments,Investments,Stock market investment,121.78,92054.32999999999
2024-01-17,Personal,Clothing,Shoes shopping,214.95,92054.32999999999
2024-01-18,Transportation,Fuel,Electric car charging,195.86,92054.32999999999
2024-01-19,Miscellaneous,Travel,Flight tickets,111.01,45332.91
2024-01-20,Miscellaneous,Travel,Travel insurance,286.67,7418.27
2024-01-20,Healthcare,Insurance,Dental insurance payment,132.94,76773.59999999999
2024-01-20,Savings/Investments,Retirement,401(k) contribution,182.53,76773.59999999999
2024-01-20,Personal,Clothing,Casual wear purchase,172.61,98146.84999999999
2024-01-20,Debt Payments,Loans,Car loan monthly payment,125.23,105218.23
2024-01-21,Shopping,Home Goods,Home decor items,193.56,45332.91
2024-01-22,Healthcare,Insurance,Health insurance premium,103.05,55101.43
2024-01-22,Shopping,Gifts,Birthday gift for friend,85.47,98146.84999999999
2024-01-23,Education,Tuition,Online course fee,123.41,45332.91
2024-01-24,Debt Payments,Loans,Personal loan installment,182.89,45332.91
2024-01-24,Healthcare,Pharmacy,Over-the-counter medicines,185.26,45332.91
2024-01-24,Education,Tuition,Online course fee,145.02,52220.08
2024-01-24,Shopping,Home Goods,Kitchenware purchase,217.81,76773.59999999999
2024-01-25,Debt Payments,Credit Card,Credit card bill payment,132.25,98146.84999999999
2024-01-26,Transportation,Fuel,Gas station fill-up,187.24,16246.260000000002
2024-01-26,Shopping,Gifts,Birthday gift for friend,118.53,33346.05
2024-01-26,Personal,Clothing,Shoes shopping,257.65,37738.840000000004
2024-01-26,Education,Books,E-book download,64.2,45332.91
2024-01-26,Entertainment,Subscriptions,Amazon Prime renewal,242.35,63035.13
2024-01-28,Personal,Fitness,Sports equipment,157.27,30554.81
2024-01-29,Transportation,Ride Services,Lyft trip,288.52,12017.900000000001
2024-01-29,Healthcare,Pharmacy,Over-the-counter medicines,250.58,98146.84999999999
2024-01-30,Healthcare,Doctor Visits,Annual check-up,231.42,25457.760000000002
2024-01-30,Savings/Investments,Investments,Stock market investment,240.17,92054.32999999999
2024-01-31,Housing,Mortgage,Monthly mortgage payment,213.81,16246.260000000002
2024-01-31,Housing,Rent,Rent for apartment,185.47,63035.13
2024-02-01,Debt Payments,Loans,Car loan monthly payment,249.76,16246.260000000002
2024-02-02,Shopping,Electronics,New smartphone,299.99,37738.840000000004
2024-02-02,Education,Books,Textbook purchase,97.8,84736.65
2024-02-03,Miscellaneous,Other,Miscellaneous purchase,162.58,37738.840000000004
2024-02-03,Savings/Investments,Emergency Fund,Transfer to emergency savings,288.03,52220.08
2024-02-03,Savings/Investments,Retirement,IRA deposit,67.57,98146.84999999999
2024-02-04,Housing,Utilities,Internet service,110.0,12017.900000000001
2024-02-04,Food,Dining Out,Dinner at McDonald's,200,45332.91
2024-02-04,Personal,Grooming,Manicure/Pedicure,188.31,52220.08
2024-02-05,Shopping,Gifts,Birthday gift for friend,265.06,30554.81
2024-02-05,Food,Groceries,Supermarket run,108.92,69472.56
